Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price United States [USD],Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JWWQAH6F1RW8AAG63Z70GDA3,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-06-04T05:41:16.148Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.148Z,400,,variant_01JWWQAHGZ0BKZTZDSK64DTSCN,S,SWEATPANTS-S,,,,,true,false,,2025-06-04T05:41:16.455Z,,,,,,Size,S,,,,10,,,15,prod_01JWWQAH6F1RW8AAG63Z70GDA3,2025-06-04T05:41:16.455Z,0,,
prod_01JWWQAH6F1RW8AAG63Z70GDA3,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-06-04T05:41:16.148Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.148Z,400,,variant_01JWWQAHH0ZAQP8Q771NXGVMHN,M,SWEATPANTS-M,,,,,true,false,,2025-06-04T05:41:16.455Z,,,,,,Size,M,,,,10,,,15,prod_01JWWQAH6F1RW8AAG63Z70GDA3,2025-06-04T05:41:16.455Z,0,,
prod_01JWWQAH6F1RW8AAG63Z70GDA3,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-06-04T05:41:16.148Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.148Z,400,,variant_01JWWQAHH1K73VYDBAC0JVQ191,L,SWEATPANTS-L,,,,,true,false,,2025-06-04T05:41:16.455Z,,,,,,Size,L,,,,10,,,15,prod_01JWWQAH6F1RW8AAG63Z70GDA3,2025-06-04T05:41:16.455Z,0,,
prod_01JWWQAH6F1RW8AAG63Z70GDA3,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-06-04T05:41:16.148Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.148Z,400,,variant_01JWWQAHH1VHXVNQD1MK9MMDGZ,XL,SWEATPANTS-XL,,,,,true,false,,2025-06-04T05:41:16.455Z,,,,,,Size,XL,,,,10,,,15,prod_01JWWQAH6F1RW8AAG63Z70GDA3,2025-06-04T05:41:16.455Z,0,,
prod_01JWWQAH6FFST229V9SH727V56,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-06-04T05:41:16.147Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.147Z,400,,variant_01JWWQAHGJAM50G1SV9GV6NM7A,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-06-04T05:41:16.453Z,,,,,,Size,S,Color,Black,,10,,,15,prod_01JWWQAH6FFST229V9SH727V56,2025-06-04T05:41:16.453Z,0,,
prod_01JWWQAH6FFST229V9SH727V56,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-06-04T05:41:16.147Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.147Z,400,,variant_01JWWQAHGKY70JRWPXWXDABKQF,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-06-04T05:41:16.454Z,,,,,,Size,S,Color,White,,10,,,15,prod_01JWWQAH6FFST229V9SH727V56,2025-06-04T05:41:16.454Z,0,,
prod_01JWWQAH6FFST229V9SH727V56,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-06-04T05:41:16.147Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.147Z,400,,variant_01JWWQAHGMTMKTBXHQP5YVN6BH,M / Black,SHIRT-M-BLACK,,,,,true,false,,2025-06-04T05:41:16.454Z,,,,,,Size,M,Color,Black,,10,,,15,prod_01JWWQAH6FFST229V9SH727V56,2025-06-04T05:41:16.454Z,0,,
prod_01JWWQAH6FFST229V9SH727V56,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-06-04T05:41:16.147Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.147Z,400,,variant_01JWWQAHGNG05JBH9DRB50E543,M / White,SHIRT-M-WHITE,,,,,true,false,,2025-06-04T05:41:16.455Z,,,,,,Size,M,Color,White,,10,,,15,prod_01JWWQAH6FFST229V9SH727V56,2025-06-04T05:41:16.455Z,0,,
prod_01JWWQAH6FFST229V9SH727V56,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-06-04T05:41:16.147Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.147Z,400,,variant_01JWWQAHGP65415ABZ0Y8FAYJE,L / Black,SHIRT-L-BLACK,,,,,true,false,,2025-06-04T05:41:16.455Z,,,,,,Size,L,Color,Black,,10,,,15,prod_01JWWQAH6FFST229V9SH727V56,2025-06-04T05:41:16.455Z,0,,
prod_01JWWQAH6FFST229V9SH727V56,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-06-04T05:41:16.147Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWWQA0F38G7MJ68WN50ZQ0FR,2025-06-04T05:41:16.147Z,400,,variant_01JWWQAHGQR1T26RA12S7JM1SS,L / White,SHIRT-L-WHITE,,,,,true,false,,2025-06-04T05:41:16.455Z,,,,,,Size,L,Color,White,,10,,,15,prod_01JWWQAH6FFST229V9SH727V56,2025-06-04T05:41:16.455Z,0,,
